Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,home_GoalsFor_rolling_mean,home_GoalsFor_rolling_sum,home_GoalsAgainst_rolling_mean,home_GoalsAgainst_rolling_sum,home_Shots_rolling_mean,home_Shots_rolling_sum,home_ShotsOT_rolling_mean,home_ShotsOT_rolling_sum,home_Cards_rolling_mean,home_Cards_rolling_sum,home_Points_rolling_mean,home_Points_rolling_sum,home_PrevSeasonPoints,away_GoalsFor_rolling_mean,away_GoalsFor_rolling_sum,away_GoalsAgainst_rolling_mean,away_GoalsAgainst_rolling_sum,away_Shots_rolling_mean,away_Shots_rolling_sum,away_ShotsOT_rolling_mean,away_ShotsOT_rolling_sum,away_Cards_rolling_mean,away_Cards_rolling_sum,away_Points_rolling_mean,away_Points_rolling_sum,away_PrevSeasonPoints,h2h_points_home,h2h_points_away,home_value,away_value,home_goal_diff_rolling_mean,home_goal_diff_rolling_sum,away_goal_diff_rolling_mean,away_goal_diff_rolling_sum,home_points_sum,away_points_sum,home_points_sum_5,away_points_sum_5,home_points_mean_5,away_points_mean_5,value_gap,points_gap,goal_diff_gap,shots_gap,shots_ot_gap,cards_gap
E0,2019-08-25,16:30,Wolves,Burnley,1,1,D,0,1,A,C Pawson,17,13,2,4,9,11,4,3,0,2,0,0,2019,0.5,1.0,0.5,1.0,7.0,14.0,2.0,4.0,2.0,4.0,1.0,2.0,,2.0,4.0,1.0,2.0,14.0,28.0,4.5,9.0,0.5,1.0,1.5,3.0,,0,0,310.4,203.25,0.0,0.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,1.5,107.14999999999998,1.0,2.0,7.0,2.5,1.5
E0,2019-08-31,12:30,Southampton,Man United,1,1,D,0,1,A,M Dean,10,21,2,8,17,7,2,3,1,2,1,0,2019,1.0,3.0,1.6666666666666667,5.0,12.333333333333334,37.0,3.333333333333333,10.0,1.6666666666666667,5.0,1.0,3.0,,2.0,6.0,1.0,3.0,14.0,42.0,3.333333333333333,10.0,2.333333333333333,7.0,1.3333333333333333,4.0,,0,0,294.5,801.1,-0.6666666666666667,-2.0,1.0,3.0,3.0,4.0,3.0,4.0,1.0,1.3333333333333333,506.6,1.0,5.0,1.666666666666666,0.0,0.6666666666666663
E0,2019-08-31,15:00,Chelsea,Sheffield United,2,2,D,2,0,H,S Attwell,13,8,5,2,6,11,3,4,0,1,0,0,2019,1.3333333333333333,4.0,2.333333333333333,7.0,18.33333333333333,55.0,6.666666666666667,20.0,2.0,6.0,1.3333333333333333,4.0,,1.0,3.0,1.0,3.0,10.333333333333334,31.0,3.0,9.0,1.6666666666666667,5.0,1.3333333333333333,4.0,,0,0,863.75,56.5,-0.9999999999999998,-3.0,0.0,0.0,4.0,4.0,4.0,4.0,1.3333333333333333,1.3333333333333333,807.25,0.0,3.0,7.999999999999995,3.666666666666667,0.33333333333333326
E0,2019-08-31,15:00,Crystal Palace,Aston Villa,1,0,H,0,0,D,K Friend,22,10,5,2,15,16,13,2,2,4,0,1,2019,0.6666666666666666,2.0,0.6666666666666666,2.0,5.666666666666667,17.0,3.0,9.0,2.333333333333333,7.0,1.3333333333333333,4.0,,1.3333333333333333,4.0,1.6666666666666667,5.0,12.0,36.0,4.666666666666667,14.0,0.6666666666666666,2.0,1.0,3.0,,0,0,215.7,156.5,0.0,0.0,-0.3333333333333335,-1.0,4.0,3.0,4.0,3.0,1.3333333333333333,1.0,59.19999999999999,1.0,1.0,6.333333333333333,1.666666666666667,1.6666666666666665
E0,2019-08-31,15:00,Leicester City,Bournemouth,3,1,H,2,1,H,P Bankes,13,8,5,2,9,11,4,5,1,3,0,0,2019,1.0,3.0,0.6666666666666666,2.0,12.333333333333334,37.0,2.0,6.0,0.0,0.0,1.6666666666666667,5.0,,1.3333333333333333,4.0,1.6666666666666667,5.0,11.666666666666666,35.0,4.666666666666667,14.0,1.6666666666666667,5.0,1.3333333333333333,4.0,,0,0,439.0,299.0,0.3333333333333333,1.0,-0.3333333333333335,-1.0,5.0,4.0,5.0,4.0,1.6666666666666667,1.3333333333333333,140.0,1.0,2.0,0.6666666666666679,2.666666666666667,1.6666666666666667
E0,2019-08-31,15:00,Man City,Brighton,4,0,H,2,0,H,J Moss,15,6,6,2,10,6,8,1,1,1,0,0,2019,3.333333333333333,10.0,1.0,3.0,21.0,63.0,8.0,24.0,2.0,6.0,2.333333333333333,7.0,,1.3333333333333333,4.0,1.0,3.0,11.0,33.0,3.333333333333333,10.0,1.3333333333333333,4.0,1.3333333333333333,4.0,,0,0,1240.0,188.45,2.333333333333333,7.0,0.3333333333333332,1.0,7.0,4.0,7.0,4.0,2.333333333333333,1.3333333333333333,1051.55,3.0,6.0,10.0,4.666666666666667,0.6666666666666667
E0,2019-08-31,15:00,Newcastle,Watford,1,1,D,1,1,D,G Scott,13,13,5,3,5,11,6,5,2,3,0,0,2019,0.6666666666666666,2.0,1.3333333333333333,4.0,9.0,27.0,2.6666666666666665,8.0,2.0,6.0,1.0,3.0,,0.3333333333333333,1.0,2.333333333333333,7.0,14.0,42.0,2.6666666666666665,8.0,1.3333333333333333,4.0,0.0,0.0,,0,0,218.58,235.05,-0.6666666666666666,-2.0,-2.0,-6.0,3.0,0.0,3.0,0.0,1.0,0.0,16.47,3.0,4.0,5.0,0.0,0.6666666666666667
E0,2019-08-31,15:00,West Ham,Norwich City,2,0,H,1,0,H,P Tierney,18,8,8,3,16,10,8,2,2,1,0,0,2019,1.3333333333333333,4.0,2.333333333333333,7.0,9.666666666666666,29.0,5.333333333333333,16.0,1.6666666666666667,5.0,1.3333333333333333,4.0,,2.0,6.0,2.6666666666666665,8.0,11.0,33.0,6.0,18.0,1.3333333333333333,4.0,1.0,3.0,,0,0,344.75,85.4,-0.9999999999999998,-3.0,-0.6666666666666665,-2.0,4.0,3.0,4.0,3.0,1.3333333333333333,1.0,259.35,1.0,1.0,1.333333333333334,0.666666666666667,0.3333333333333335
E0,2019-08-31,17:30,Burnley,Liverpool,0,3,A,0,2,A,C Kavanagh,7,15,2,7,10,16,6,4,0,0,0,0,2019,1.6666666666666667,5.0,1.0,3.0,13.666666666666666,41.0,4.333333333333333,13.0,1.0,3.0,1.3333333333333333,4.0,,3.0,9.0,1.0,3.0,18.33333333333333,55.0,6.0,18.0,0.6666666666666666,2.0,3.0,9.0,,0,0,203.25,1080.0,0.6666666666666667,2.0,2.0,6.0,4.0,9.0,4.0,9.0,1.3333333333333333,3.0,876.75,5.0,4.0,4.6666666666666625,1.666666666666667,0.33333333333333337
E0,2019-09-01,14:00,Everton,Wolves,3,2,H,2,1,H,A Taylor,15,8,6,5,12,12,7,7,1,4,0,1,2019,0.3333333333333333,1.0,0.6666666666666666,2.0,11.333333333333334,34.0,2.0,6.0,2.6666666666666665,8.0,1.3333333333333333,4.0,,0.6666666666666666,2.0,0.6666666666666666,2.0,10.333333333333334,31.0,2.0,6.0,1.3333333333333333,4.0,1.0,3.0,,0,0,440.0,310.4,-0.3333333333333333,-1.0,0.0,0.0,4.0,3.0,4.0,3.0,1.3333333333333333,1.0,129.60000000000002,1.0,1.0,1.0,0.0,1.3333333333333333
